what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1453381897998
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1453381897998
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1453381897999
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1453381897999
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1453381897999
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1453381898000
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1453381898000
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1453381898001
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1453381898001
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1453381898002
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1453381898002
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1453381898002
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1453381898003
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1453381898003
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1453381898003
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1453381898004
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1453381898004
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1453381898004
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1453381898004
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1453381898004
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1453381898005
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1453381898005
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1453381898005
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1453381898005
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1453381898006
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1453381898006
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1453381898006
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1453381898006
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1453381898007
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1453381898007
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1453381898007
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1453381898008
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1453381898008
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1453381898009
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1453381898009
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1453381898010
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1453381898010
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1453381898010
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1453381898011
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1453381898011
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1453381898011
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1453381898011
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1453381898012
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1453381898012
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1453381898012
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1453381898012
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1453381898013
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1453381898013
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1453381898013
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1453381898014
os,sysinfo,,,"linux",1453381898016
arch,sysinfo,,,"x86_64",1453381898016
ws,sysinfo,,,"gtk",1453381898016
locale,sysinfo,,,"pt_BR",1453381898016
processors,sysinfo,,,"4",1453381898016
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1453381898016
java.runtime.version,sysinfo,,,"1.7.0_91-b02",1453381898016
java.specification.name,sysinfo,,,"Java Platform API Specification",1453381898016
java.specification.vendor,sysinfo,,,"Oracle Corporation",1453381898016
java.specification.version,sysinfo,,,"1.7",1453381898016
java.vendor,sysinfo,,,"Oracle Corporation",1453381898016
java.version,sysinfo,,,"1.7.0_91",1453381898016
java.vm.info,sysinfo,,,"mixed mode",1453381898016
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1453381898016
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1453381898016
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1453381898016
java.vm.specification.version,sysinfo,,,"1.7",1453381898016
java.vm.vendor,sysinfo,,,"Oracle Corporation",1453381898016
java.vm.version,sysinfo,,,"24.91-b01",1453381898016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453381913252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1453381952235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453381952249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453381953156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453382002554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453382004658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453382670120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453382672768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453382674446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453382674971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453382695822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453382696652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453385560764
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453385562638
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453385565536
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1453385569063
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1453385569121
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1453385570121
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1453385570217
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1453385570296
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1453385570380
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1453385570431
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1453385570523
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1453385570556
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1453385570633
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1453385570661
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1453385570741
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.traditional",1453385570849
